,DurationSec,HeaderFname,StartSec,StartStr,StopSec
0,3600.0,86200102_0000.head,243362829.0,2007-09-17 16:47:09.000,243366429.0
1,3600.0,86200102_0001.head,243366429.0,2007-09-17 17:47:09.000,243370029.0
2,3600.0,86200102_0002.head,243370029.0,2007-09-17 18:47:09.000,243373629.0
3,3600.0,86200102_0003.head,243373630.0,2007-09-17 19:47:10.000,243377230.0
4,3600.0,86200102_0004.head,243377230.0,2007-09-17 20:47:10.000,243380830.0
5,3600.0,86200102_0005.head,243380830.0,2007-09-17 21:47:10.000,243384430.0
6,3600.0,86200102_0006.head,243384431.0,2007-09-17 22:47:11.000,243388031.0
7,3600.0,86200102_0007.head,243388031.0,2007-09-17 23:47:11.000,243391631.0
8,3600.0,86200102_0008.head,243391631.0,2007-09-18 00:47:11.000,243395231.0
9,3600.0,86200102_0009.head,243395231.0,2007-09-18 01:47:11.000,243398831.0
10,3600.0,86200102_0010.head,243398831.0,2007-09-18 02:47:11.000,243402431.0
11,3600.0,86200102_0011.head,243402431.0,2007-09-18 03:47:11.000,243406031.0
12,3600.0,86200102_0012.head,243406032.0,2007-09-18 04:47:12.000,243409632.0
13,3304.0,86200102_0013.head,243409632.0,2007-09-18 05:47:12.000,243412936.0
14,3600.0,86200102_0014.head,243413250.0,2007-09-18 06:47:30.000,243416850.0
15,3600.0,86200102_0015.head,243416851.0,2007-09-18 07:47:31.000,243420451.0
16,3600.0,86200102_0016.head,243420451.0,2007-09-18 08:47:31.000,243424051.0
17,3600.0,86200102_0017.head,243424051.0,2007-09-18 09:47:31.000,243427651.0
18,2293.0,86200102_0018.head,243427651.0,2007-09-18 10:47:31.000,243429944.0
19,3600.0,86200102_0021.head,243436109.0,2007-09-18 13:08:29.000,243439709.0
20,3600.0,86200102_0022.head,243439709.0,2007-09-18 14:08:29.000,243443309.0
21,3600.0,86200102_0023.head,243443309.0,2007-09-18 15:08:29.000,243446909.0
22,3600.0,86200102_0024.head,243446909.0,2007-09-18 16:08:29.000,243450509.0
23,3600.0,86200102_0025.head,243450510.0,2007-09-18 17:08:30.000,243454110.0
24,3600.0,86200102_0026.head,243454110.0,2007-09-18 18:08:30.000,243457710.0
25,3600.0,86200102_0027.head,243457710.0,2007-09-18 19:08:30.000,243461310.0
26,3600.0,86200102_0028.head,243461310.0,2007-09-18 20:08:30.000,243464910.0
27,3600.0,86200102_0029.head,243464911.0,2007-09-18 21:08:31.000,243468511.0
28,3600.0,86200102_0030.head,243468511.0,2007-09-18 22:08:31.000,243472111.0
29,3600.0,86200102_0031.head,243472111.0,2007-09-18 23:08:31.000,243475711.0
30,3600.0,86200102_0032.head,243475711.0,2007-09-19 00:08:31.000,243479311.0
31,3600.0,86200102_0033.head,243479312.0,2007-09-19 01:08:32.000,243482912.0
