,DurationSec,HeaderFname,StartSec,StartStr,StopSec
0,3600.0,62000102_0000.head,211913495.0,2006-09-18 16:51:35.000,211917095.0
1,3600.0,62000102_0001.head,211917096.0,2006-09-18 17:51:36.000,211920696.0
2,3600.0,62000102_0002.head,211920696.0,2006-09-18 18:51:36.000,211924296.0
3,3600.0,62000102_0003.head,211924296.0,2006-09-18 19:51:36.000,211927896.0
4,3600.0,62000102_0004.head,211927897.0,2006-09-18 20:51:37.000,211931497.0
5,3600.0,62000102_0005.head,211931497.0,2006-09-18 21:51:37.000,211935097.0
6,3600.0,62000102_0006.head,211935097.0,2006-09-18 22:51:37.000,211938697.0
7,3600.0,62000102_0007.head,211938697.0,2006-09-18 23:51:37.000,211942297.0
8,3600.0,62000102_0008.head,211942298.0,2006-09-19 00:51:38.000,211945898.0
9,3600.0,62000102_0009.head,211945898.0,2006-09-19 01:51:38.000,211949498.0
10,3600.0,62000102_0010.head,211949498.0,2006-09-19 02:51:38.000,211953098.0
11,3600.0,62000102_0011.head,211953098.0,2006-09-19 03:51:38.000,211956698.0
12,3600.0,62000102_0012.head,211956698.0,2006-09-19 04:51:38.000,211960298.0
13,3600.0,62000102_0013.head,211960298.0,2006-09-19 05:51:38.000,211963898.0
14,3600.0,62000102_0014.head,211963899.0,2006-09-19 06:51:39.000,211967499.0
15,2000.0,62000102_0015.head,211967499.0,2006-09-19 07:51:39.000,211969499.0
16,3600.0,62000102_0016.head,211973248.0,2006-09-19 09:27:28.000,211976848.0
17,3600.0,62000102_0017.head,211976848.0,2006-09-19 10:27:28.000,211980448.0
18,3600.0,62000102_0018.head,211980448.0,2006-09-19 11:27:28.000,211984048.0
19,3600.0,62000102_0019.head,211984048.0,2006-09-19 12:27:28.000,211987648.0
20,3600.0,62000102_0020.head,211987649.0,2006-09-19 13:27:29.000,211991249.0
21,3600.0,62000102_0021.head,211991249.0,2006-09-19 14:27:29.000,211994849.0
22,3600.0,62000102_0022.head,211994849.0,2006-09-19 15:27:29.000,211998449.0
23,3600.0,62000102_0023.head,211998450.0,2006-09-19 16:27:30.000,212002050.0
24,3600.0,62000102_0024.head,212002050.0,2006-09-19 17:27:30.000,212005650.0
25,3600.0,62000102_0025.head,212005651.0,2006-09-19 18:27:31.000,212009251.0
26,3600.0,62000102_0026.head,212009251.0,2006-09-19 19:27:31.000,212012851.0
27,3600.0,62000102_0027.head,212012851.0,2006-09-19 20:27:31.000,212016451.0
28,3600.0,62000102_0028.head,212016452.0,2006-09-19 21:27:32.000,212020052.0
29,3600.0,62000102_0029.head,212020052.0,2006-09-19 22:27:32.000,212023652.0
30,3600.0,62000102_0030.head,212023653.0,2006-09-19 23:27:33.000,212027253.0
31,3600.0,62000102_0031.head,212027253.0,2006-09-20 00:27:33.000,212030853.0
32,3600.0,62000102_0032.head,212030853.0,2006-09-20 01:27:33.000,212034453.0
33,3600.0,62000102_0033.head,212034454.0,2006-09-20 02:27:34.000,212038054.0
34,3600.0,62000102_0034.head,212038054.0,2006-09-20 03:27:34.000,212041654.0
35,3600.0,62000102_0035.head,212041654.0,2006-09-20 04:27:34.000,212045254.0
36,3600.0,62000102_0036.head,212045254.0,2006-09-20 05:27:34.000,212048854.0
37,3600.0,62000102_0037.head,212048854.0,2006-09-20 06:27:34.000,212052454.0
38,3600.0,62000102_0038.head,212052454.0,2006-09-20 07:27:34.000,212056054.0
39,3268.0,62000102_0039.head,212056055.0,2006-09-20 08:27:35.000,212059323.0
40,3600.0,62000102_0040.head,212059358.0,2006-09-20 09:22:38.000,212062958.0
